user_query,common_result,average
when was the last time capulin erupted,"[0.16216216216216217, 0.07317073170731707, 0.14705882352941177, 0.07142857142857142, 0.0]",0.09076405776549248
What year did the Capulin Volcano in New Mexico Last errupt,"[0.15789473684210525, 0.2, 0.10256410256410256, 0.0975609756097561, 0.23529411764705882]",0.15866278653260454
What year did the Capulin Volcano Last errupt,"[0.1891891891891892, 0.22857142857142856, 0.1891891891891892, 0.06976744186046512, 0.075]",0.1503434497620544
In Arizona what dessert is the Organ Pipe Cactus Monument found in,"[0.1111111111111111, 0.13157894736842105, 0.024390243902439025, 0.2727272727272727, 0.10526315789473684]",0.12901414660079616
In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found,"[0.07894736842105263, 0.17647058823529413, 0.1111111111111111, 0.25806451612903225, 0.17142857142857143]",0.1592044310650123
Witch desert was the Organ Pipe Cactus in,"[0.13513513513513514, 0.1, 0.14634146341463414, 0.125, 0.07142857142857142]",0.11558103399566813
the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it,"[0.125, 0.16216216216216217, 0.1388888888888889, 0.35714285714285715, 0.15384615384615385]",0.18740801240801241
when was the last time the capulin volcano erupted ,"[0.1590909090909091, 0.061224489795918366, 0.0196078431372549, 0.13636363636363635, 0.06382978723404255]",0.08802333312435225
how many people died in the johnstown flood,"[0.17142857142857143, 0.047619047619047616, 0.08108108108108109, 0.34375, 0.024390243902439025]",0.13365378880622783
what is the desert in arizona that the organ pip cactus is held in,"[0.1891891891891892, 0.1388888888888889, 0.1282051282051282, 0.2, 0.046511627906976744]",0.1405589668380366
organ pipe cactus national monument,"[0.08080808080808081, 0.11458333333333333, 0.038461538461538464, 0.11224489795918367, 0.10101010101010101]",0.08942159031444745
what country is the roosevelt campobello in,"[0.17647058823529413, 0.0847457627118644, 0.10526315789473684, 0.19230769230769232, 0.08928571428571429]",0.1296145830870604
everglades national park,"[0.08860759493670886, 0.16666666666666666, 0.15789473684210525, 0.16883116883116883, 0.1111111111111111]",0.13862225567755213
what country  is the Roosevelt Campobello international park in,"[0.1724137931034483, 0.125, 0.26666666666666666, 0.14814814814814814, 0.2]",0.18244572158365263
what is the name of the organ pipe cactis desert,"[0.15789473684210525, 0.1891891891891892, 0.3142857142857143, 0.075, 0.11904761904761904]",0.17108345187292556
when was last time time volcano erupted in new mexico,"[0.11764705882352941, 0.18, 0.1702127659574468, 0.02040816326530612, 0.058823529411764705]",0.10941830349160941
when was last time capulin erupted,"[0.13636363636363635, 0.1951219512195122, 0.13953488372093023, 0.08888888888888889, 0.17073170731707318]",0.14612821350200816
how many people died during pennsylvania flood,"[0.041666666666666664, 0.017857142857142856, 0.09803921568627451, 0.058823529411764705, 0.019230769230769232]",0.04712346477052359
where are oregon pipe cactuses located in arizona,"[0.14285714285714285, 0.19148936170212766, 0.07692307692307693, 0.10204081632653061, 0.03571428571428571]",0.10980493670463273
organ pipe cactus what is the name of the desert,"[0.13513513513513514, 0.22857142857142856, 0.13157894736842105, 0.10526315789473684, 0.4]",0.2001097337939443
when was the last time this volcano erupted in new mexico,"[0.06060606060606061, 0.12307692307692308, 0.08064516129032258, 0.1111111111111111, 0.1111111111111111]",0.0973100734391057
when was the last time volcano capulin,"[0.16666666666666666, 0.11764705882352941, 0.03636363636363636, 0.1, 0.20930232558139536]",0.12599593748704557
what is the country is the roosevelt campobello in ,"[0.20588235294117646, 0.08823529411764706, 0.10256410256410256, 0.07692307692307693, 0.08108108108108109]",0.11093718152541683
what is the two particular species exist in Florida,"[0.1, 0.047619047619047616, 0.09302325581395349, 0.19444444444444445, 0.16216216216216217]",0.11944978200792153
how many students did gone to a all white school in Arkansas,"[0.07894736842105263, 0.08108108108108109, 0.08333333333333333, 0.05333333333333334, 0.07692307692307693]",0.07472363861837547
how many students did gone to a all white school in Arkansas in 1957,"[0.13636363636363635, 0.17073170731707318, 0.13953488372093023, 0.11363636363636363, 0.08695652173913043]",0.1294446225554268
organ pipe cactus national monument ,"[0.12222222222222222, 0.1348314606741573, 0.04081632653061224, 0.10752688172043011, 0.10752688172043011]",0.10258475457357039
what arizona desert is  organ pipe cactus national monument in?,"[0.0, 0.07894736842105263, 0.2857142857142857, 0.25806451612903225, 0.02631578947368421]",0.12980839194761096
arizona desert with organ pipe cactus national monument,"[0.08196721311475409, 0.11016949152542373, 0.015037593984962405, 0.08196721311475409, 0.064]",0.07062830234797887
what two species exist side by side in everglades national partk,"[0.09836065573770492, 0.19230769230769232, 0.10344827586206896, 0.16666666666666666, 0.06557377049180328]",0.12527141221318722
what lives in everglades national park,"[0.02666666666666667, 0.05555555555555555, 0.14925373134328357, 0.0136986301369863, 0.05714285714285714]",0.060463488169069844
when did the capulin volcano last erupt,"[0.21428571428571427, 0.02857142857142857, 0.3076923076923077, 0.058823529411764705, 0.06451612903225806]",0.13477782179869466
what country is the roosevelt campobello park in,"[0.15254237288135594, 0.07462686567164178, 0.1, 0.1864406779661017, 0.16071428571428573]",0.13486484044667704
what event happened in 1859 between two countries ,"[0.022727272727272728, 0.0, 0.0, 0.021739130434782608, 0.0]",0.008893280632411068
places in pennsylvania to visit,"[0.05357142857142857, 0.10256410256410256, 0.09322033898305085, 0.08943089430894309, 0.025210084033613446]",0.07279936969222771
fun places to visit in pennsylvania,"[0.06474820143884892, 0.07407407407407407, 0.02142857142857143, 0.014705882352941176, 0.08029197080291971]",0.05104974001947106
coco movie,"[0.20987654320987653, 0.0975609756097561, 0.06666666666666667, 0.07792207792207792, 0.07446808510638298]",0.10529886970295203
what is the movie coco about,"[0.11688311688311688, 0.10526315789473684, 0.15584415584415584, 0.08974358974358974, 0.08536585365853659]",0.11061997480482717
cool facts about Hawaii,"[0.10909090909090909, 0.06956521739130435, 0.06722689075630252, 0.0423728813559322, 0.0782608695652174]",0.0733033536319331
picture of a river,"[0.0784313725490196, 0.038461538461538464, 0.0425531914893617, 0.03571428571428571, 0.018518518518518517]",0.04273578134654481
what habitat does an Aardvark live in,"[0.14754098360655737, 0.0967741935483871, 0.08333333333333333, 0.13793103448275862, 0.046875]",0.10249090899420729
fart noises,"[0.0, 0.023255813953488372, 0.06666666666666667, 0.0, 0.0]",0.017984496124031007
what is the movie leap about,"[0.15, 0.11428571428571428, 0.12987012987012986, 0.07792207792207792, 0.08860759493670886]",0.1121371034029262
what habitat do platypus live in,"[0.14893617021276595, 0.09803921568627451, 0.14893617021276595, 0.0784313725490196, 0.08163265306122448]",0.11119511634441011
what is minecraft,"[0.03529411764705882, 0.1125, 0.036585365853658534, 0.1527777777777778, 0.12987012987012986]",0.093405478229725
leap movie,"[0.05747126436781609, 0.10126582278481013, 0.05555555555555555, 0.1875, 0.14285714285714285]",0.10892995711306493
platapus libes in,"[0.03278688524590164, 0.04838709677419355, 0.08064516129032258, 0.03278688524590164, 0.046875]",0.048296205711263876
whit is the move leap ,"[0.0, 0.057692307692307696, 0.02127659574468085, 0.0, 0.08]",0.03179378068739771
what kind of habitat do platypus live in,"[0.13636363636363635, 0.13636363636363635, 0.1111111111111111, 0.06521739130434782, 0.04]",0.09781115502854633
xmission,"[0.0, 0.022727272727272728, 0.0, 0.0, 0.04878048780487805]",0.014301552106430155
minecraft videos,"[0.014925373134328358, 0.11290322580645161, 0.03278688524590164, 0.047619047619047616, 0.015873015873015872]",0.044821509535749024
google earth,"[0.05555555555555555, 0.09230769230769231, 0.06349206349206349, 0.125, 0.09836065573770492]",0.08694319341860327
dog names from where the red fern grows,"[0.0, 0.0, 0.09523809523809523, 0.045454545454545456, 0.0]",0.02813852813852814
who is the mayor of boise idaho,"[0.05128205128205128, 0.17142857142857143, 0.04878048780487805, 0.1, 0.07692307692307693]",0.08968283748771554
garfield elementary school web page,"[0.0392156862745098, 0.038461538461538464, 0.0, 0.061224489795918366, 0.0784313725490196]",0.04346661741619725
bumblebee,"[0.05172413793103448, 0.01639344262295082, 0.05172413793103448, 0.022727272727272728, 0.07142857142857142]",0.04279951252817279
transformers,"[0.0425531914893617, 0.07291666666666667, 0.02, 0.05102040816326531, 0.052083333333333336]",0.0477147199305254
garfield elementary website,"[0.06557377049180328, 0.125, 0.047619047619047616, 0.08196721311475409, 0.03225806451612903]",0.0704836191483468
Boise Idaho Garfield Elematary ,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
Boise Idaho Garfield Elematarys calender,"[0.017543859649122806, 0.0, 0.037037037037037035, 0.017857142857142856, 0.03571428571428571]",0.02163046505151768
Sierra Powell born november 10 2006,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
pax from the book pax,"[0.07368421052631578, 0.06521739130434782, 0.07368421052631578, 0.05555555555555555, 0.022222222222222223]",0.05807271802695143
how much money does a hoverboard cost,"[0.06060606060606061, 0.13114754098360656, 0.03125, 0.046153846153846156, 0.0]",0.05383148954870267
recipe for making salsa,"[0.045871559633027525, 0.10476190476190476, 0.056074766355140186, 0.05309734513274336, 0.10576923076923077]",0.07311496133040932
what happened on october 10 2006,"[0.022222222222222223, 0.021739130434782608, 0.021739130434782608, 0.022727272727272728, 0.04878048780487805]",0.02744164872478765
pictures of places in italy,"[0.22857142857142856, 0.1111111111111111, 0.06578947368421052, 0.036585365853658534, 0.04477611940298507]",0.09736669972467876
is jump time open on weekends,"[0.06521739130434782, 0.06521739130434782, 0.0392156862745098, 0.061224489795918366, 0.02040816326530612]",0.05025662438888599
how much does legos cost,"[0.017857142857142856, 0.08620689655172414, 0.06779661016949153, 0.09090909090909091, 0.12280701754385964]",0.0771153516062618
pics of canada,"[0.08333333333333333, 0.1, 0.03571428571428571, 0.0392156862745098, 0.02]",0.05565266106442577
garfield elementary school district,"[0.024390243902439025, 0.02564102564102564, 0.0, 0.0, 0.0]",0.010006253908692933
garfield elementary school district boise idaho,"[0.25, 0.06976744186046512, 0.15, 0.21052631578947367, 0.05555555555555555]",0.14716986264109888
garfield school district calendar,"[0.06818181818181818, 0.0, 0.08, 0.12244897959183673, 0.043478260869565216]",0.06282181172864403
all emily windsnap books,"[0.42, 0.16393442622950818, 0.2222222222222222, 0.2653061224489796, 0.1323529411764706]",0.24076314241543612
soccer ball online,"[0.08771929824561403, 0.07547169811320754, 0.04918032786885246, 0.14285714285714285, 0.03333333333333333]",0.07771236008363004
recipe for snickers,"[0.07333333333333333, 0.059602649006622516, 0.0915032679738562, 0.06802721088435375, 0.0718954248366013]",0.07287237720695343
notrth pole,"[0.07462686567164178, 0.058823529411764705, 0.029411764705882353, 0.016129032258064516, 0.0625]",0.04829823840947067
pictures of hawaii,"[0.07692307692307693, 0.05172413793103448, 0.10526315789473684, 0.08064516129032258, 0.06666666666666667]",0.07624444014116749
